Table 98: Western Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,  Muhororo,"22,273","10,488","11,785",100,47.1,52.9
,  Ndaro,"24,444","11,317","13,127",100,46.3,53.7
,  Ngororero,"38,823","18,254","20,569",100,47,53
,  Nyange,"24,859","11,536","13,323",100,46.4,53.6
,  Sovu,"31,966","14,715","17,251",100,46,54
,Rusizi,"485,529","236,426","249,103",100,48.7,51.3
,  Bugarama,"42,830","21,197","21,633",100,49.5,50.5
,  Butare,"25,483","12,243","13,240",100,48,52
,  Bweyeye,"18,109","9,042","9,067",100,49.9,50.1
,  Gashonga,"26,791","12,869","13,922",100,48,52
,  Giheke,"20,740","9,739","11,001",100,47,53
,  Gihundwe,"41,615","20,404","21,211",100,49,51
,  Gikundamvura,"21,909","10,394","11,515",100,47.4,52.6
,  Gitambi,"25,119","11,866","13,253",100,47.2,52.8
,  Kamembe,"34,883","19,621","15,262",100,56.2,43.8
,  Muganza,"32,849","15,608","17,241",100,47.5,52.5
,  Mururu,"29,774","14,488","15,286",100,48.7,51.3
,  Nkanka,"19,857","9,359","10,498",100,47.1,52.9
,  Nkombo,"18,637","9,028","9,609",100,48.4,51.6
,  Nkungu,"21,696","10,221","11,475",100,47.1,52.9
,  Nyakabuye,"33,200","15,739","17,461",100,47.4,52.6
,  Nyakarenzo,"18,384","8,842","9,542",100,48.1,51.9
,  Nzahaha,"30,399","14,631","15,768",100,48.1,51.9
,  Rwimbogo,"23,254","11,135","12,119",100,47.9,52.1
,Nyamasheke,"434,221","204,858","229,363",100,47.2,52.8
,  Bushekeri,"29,680","14,067","15,613",100,47.4,52.6
,  Bushenge,"22,624","10,571","12,053",100,46.7,53.3
,  Cyato,"26,996","12,548","14,448",100,46.5,53.5
,  Gihombo,"29,843","14,099","15,744",100,47.2,52.8
,  Kagano,"39,994","19,047","20,947",100,47.6,52.4
,  Kanjongo,"40,341","19,241","21,100",100,47.7,52.3
,  Karambi,"29,726","14,082","15,644",100,47.4,52.6
,  Karengera,"32,504","15,399","17,105",100,47.4,52.6
,  Kirimbi,"25,647","12,092","13,555",100,47.1,52.9
,  Macuba,"33,319","15,818","17,501",100,47.5,52.5
,  Mahembe,"20,043","9,519","10,524",100,47.5,52.5
,  Nyabitekeri,"29,293","13,663","15,630",100,46.6,53.4
,  Rangiro,"17,967","8,354","9,613",100,46.5,53.5
,  Ruharambuga,"28,180","13,244","14,936",100,47,53
,  Shangi,"28,064","13,114","14,950",100,46.7,53.3
