Table 99: Northern Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,  Muko,"26,472","12,496","13,976",100,47.2,52.8
,  Musanze,"47,720","22,478","25,242",100,47.1,52.9
,  Nkotsi,"17,349","8,108","9,241",100,46.7,53.3
,  Nyange,"31,274","14,612","16,662",100,46.7,53.3
,  Remera,"19,987","9,522","10,465",100,47.6,52.4
,  Rwaza,"23,120","10,998","12,122",100,47.6,52.4
,  Shingiro,"24,726","11,603","13,123",100,46.9,53.1
,Burera,"387,729","184,782","202,947",100,47.7,52.3
,  Bungwe,"16,322","7,712","8,610",100,47.2,52.8
,  Butaro,"38,013","18,352","19,661",100,48.3,51.7
,  Cyanika,"44,510","21,362","23,148",100,48,52
,  Cyeru,"14,719","7,020","7,699",100,47.7,52.3
,  Gahunga,"28,059","13,282","14,777",100,47.3,52.7
,  Gatebe,"18,867","8,900","9,967",100,47.2,52.8
,  Gitovu,"11,531","5,516","6,015",100,47.8,52.2
,  Kagogo,"23,089","11,084","12,005",100,48,52
,  Kinoni,"19,017","9,093","9,924",100,47.8,52.2
,  Kinyababa,"23,746","11,281","12,465",100,47.5,52.5
,  Kivuye,"18,057","8,609","9,448",100,47.7,52.3
,  Nemba,"21,401","10,002","11,399",100,46.7,53.3
,  Rugarama,"27,051","13,046","14,005",100,48.2,51.8
,  Rugengabari,"20,920","9,768","11,152",100,46.7,53.3
,  Ruhunde,"20,157","9,528","10,629",100,47.3,52.7
,  Rusarabuye,"20,659","9,991","10,668",100,48.4,51.6
,  Rwerere,"21,611","10,236","11,375",100,47.4,52.6
,Gicumbi,"448,824","216,389","232,435",100,48.2,51.8
,  Bukure,"20,454","9,943","10,511",100,48.6,51.4
,  Bwisige,"17,274","8,229","9,045",100,47.6,52.4
,  Byumba,"43,134","20,372","22,762",100,47.2,52.8
,  Cyumba,"17,218","8,158","9,060",100,47.4,52.6
,  Giti,"17,431","8,495","8,936",100,48.7,51.3
,  Kageyo,"20,888","9,887","11,001",100,47.3,52.7
,  Kaniga,"16,772","8,056","8,716",100,48,52
,  Manyagiro,"22,635","10,933","11,702",100,48.3,51.7
,  Miyove,"20,223","9,510","10,713",100,47,53
,  Mukarange,"18,543","8,831","9,712",100,47.6,52.4
,  Muko,"20,050","9,656","10,394",100,48.2,51.8
,  Mutete,"27,517","12,960","14,557",100,47.1,52.9
,  Nyamiyaga,"20,939","10,040","10,899",100,47.9,52.1
,  Nyankenke,"27,183","14,830","12,353",100,54.6,45.4
,  Rubaya,"12,044","5,801","6,243",100,48.2,51.8
,  Rukomo,"28,127","13,486","14,641",100,47.9,52.1
,  Rushaki,"15,048","7,102","7,946",100,47.2,52.8
,  Rutare,"27,837","13,371","14,466",100,48,52
,  Ruvune,"21,990","10,606","11,384",100,48.2,51.8
,  Rwamiko,"14,821","7,163","7,658",100,48.3,51.7
,  Shangasha,"18,696","8,960","9,736",100,47.9,52.1
