Table 100: Eastern Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,Ngoma,"404,048","192,720","211,328",100,47.7,52.3
,  Gashanda,"19,345","9,214","10,131",100,47.6,52.4
,  Jarama,"31,122","14,942","16,180",100,48,52
,  Karembo,"17,726","8,445","9,281",100,47.6,52.4
,  Kazo,"32,450","15,597","16,853",100,48.1,51.9
,  Kibungo,"31,445","14,976","16,469",100,47.6,52.4
,  Mugesera,"28,637","13,624","15,013",100,47.6,52.4
,  Murama,"26,702","12,686","14,016",100,47.5,52.5
,  Mutenderi,"24,915","11,870","13,045",100,47.6,52.4
,  Remera,"32,344","15,422","16,922",100,47.7,52.3
,  Rukira,"29,893","14,301","15,592",100,47.8,52.2
,  Rukumberi,"39,420","18,739","20,681",100,47.5,52.5
,  Rurenge,"33,391","15,842","17,549",100,47.4,52.6
,  Sake,"28,822","13,762","15,060",100,47.7,52.3
,  Zaza,"27,836","13,300","14,536",100,47.8,52.2
,Bugesera,"551,103","271,468","279,635",100,49.3,50.7
,  Gashora,"32,251","16,027","16,224",100,49.7,50.3
,  Juru,"33,753","16,443","17,310",100,48.7,51.3
,  Kamabuye,"24,502","11,960","12,542",100,48.8,51.2
,  Mareba,"29,266","14,127","15,139",100,48.3,51.7
,  Mayange,"54,084","27,433","26,651",100,50.7,49.3
,  Musenyi,"40,610","19,542","21,068",100,48.1,51.9
,  Mwogo,"30,171","14,802","15,369",100,49.1,50.9
,  Ngeruka,"37,328","17,900","19,428",100,48,52
,  Ntarama,"45,530","22,652","22,878",100,49.8,50.2
,  Nyamata,"81,480","40,096","41,384",100,49.2,50.8
,  Nyarugenge,"25,406","12,181","13,225",100,47.9,52.1
,  Rilima,"32,862","17,652","15,210",100,53.7,46.3
,  Ruhuha,"30,028","14,606","15,422",100,48.6,51.4
,  Rweru,"37,976","18,408","19,568",100,48.5,51.5
,  Shyara,"15,856","7,639","8,217",100,48.2,51.8
